Introduction,0
Conclusions,4
Conclusion,4
Discussion,4
Results,3
Related work,1
Experimental results,3
Concluding remarks,4
Methods,2
Experiments,3
Conclusions and future work,4
Background,1
Summary,4
Simulation results,3
Methodology,2
Numerical results,3
Materials and methods,2
Literature review,1
Method,2
Conclusion and future work,4
Performance evaluation,3
Related works,1
Problem formulation,2
Discussion and conclusions,4
Summary and conclusions,4
Computational results,3
Discussion and conclusion,4
Numerical experiments,3
Experiment,3
Experiments and results,3